                  平安银行 (000001)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2017/02/10	    9.32	    9.36	    9.31	    9.33	       48274300	           	           	           	           	           	       0.00	  482743.00	           	           	       0.00	       0.00	       0.00	
 2017/02/13	    9.34	    9.44	    9.33	    9.41	       63836400	           	           	           	           	           	       0.00	  638364.00	           	           	       0.01	       0.00	       0.01	
 2017/02/14	    9.41	    9.42	    9.37	    9.40	       36240400	           	           	           	           	           	       0.00	  362404.00	           	           	       0.01	       0.00	       0.01	
 2017/02/15	    9.40	    9.54	    9.39	    9.45	       75661296	           	           	           	           	           	       0.00	  756612.94	           	           	       0.02	       0.01	       0.02	
 2017/02/16	    9.45	    9.50	    9.42	    9.46	       41116100	       9.41	           	           	           	           	       0.00	  411161.00	  530257.00	           	       0.02	       0.01	       0.03	
 2017/02/17	    9.46	    9.49	    9.37	    9.39	       42377400	       9.42	           	           	           	           	       0.00	  423774.00	  518463.19	           	       0.02	       0.01	       0.02	
 2017/02/20	    9.40	    9.58	    9.40	    9.56	       89875504	       9.45	           	           	           	           	       0.00	  898755.06	  570541.38	           	       0.04	       0.02	       0.04	
 2017/02/21	    9.55	    9.62	    9.54	    9.57	       64658400	       9.49	           	           	           	           	       0.00	  646584.00	  627377.38	           	       0.05	       0.02	       0.05	
 2017/02/22	    9.57	    9.57	    9.50	    9.57	       46296600	       9.51	           	           	           	           	       0.00	  462966.00	  568648.00	           	       0.05	       0.03	       0.05	
 2017/02/23	    9.55	    9.57	    9.48	    9.51	       33532700	       9.52	       9.47	           	           	           	       0.00	  335327.00	  553481.19	  541869.13	       0.05	       0.03	       0.04	
 2017/02/24	    9.50	    9.54	    9.48	    9.50	       33250000	       9.54	       9.48	           	           	           	       0.00	  332500.00	  535226.44	  526844.81	       0.05	       0.04	       0.03	
 2017/02/27	    9.50	    9.50	    9.42	    9.43	       40734100	       9.52	       9.48	           	           	           	       0.00	  407341.00	  436943.59	  503742.50	       0.05	       0.04	       0.01	
 2017/02/28	    9.43	    9.51	    9.42	    9.48	       36971900	       9.50	       9.49	           	           	           	       0.00	  369719.00	  381570.59	  504474.00	       0.04	       0.04	       0.01	
 2017/03/01	    9.49	    9.55	    9.47	    9.49	       34699300	       9.48	       9.50	           	           	           	       0.00	  346993.00	  358376.00	  463512.00	       0.04	       0.04	       0.00	
 2017/03/02	    9.51	    9.54	    9.42	    9.43	       40362800	       9.47	       9.49	           	           	           	       0.00	  403628.00	  372036.19	  462758.72	       0.04	       0.04	      -0.01	
 2017/03/03	    9.41	    9.43	    9.36	    9.40	       34265500	       9.45	       9.49	           	           	           	       0.00	  342655.00	  374067.19	  454646.81	       0.03	       0.04	      -0.02	
 2017/03/06	    9.40	    9.46	    9.39	    9.45	       40451100	       9.45	       9.48	           	           	           	       0.00	  404511.00	  373501.19	  405222.41	       0.03	       0.03	      -0.02	
 2017/03/07	    9.44	    9.46	    9.40	    9.45	       29467200	       9.44	       9.47	           	           	           	       0.00	  294672.00	  358491.81	  370031.19	       0.02	       0.03	      -0.02	
 2017/03/08	    9.43	    9.45	    9.40	    9.42	       24443800	       9.43	       9.46	           	           	           	       0.00	  244438.00	  337980.81	  348178.41	       0.02	       0.03	      -0.02	
 2017/03/09	    9.41	    9.43	    9.36	    9.38	       37816900	       9.42	       9.44	       9.45	           	           	       0.00	  378169.00	  332889.00	  352462.59	       0.01	       0.03	      -0.03	
 2017/03/10	    9.38	    9.41	    9.36	    9.40	       39018200	       9.42	       9.43	       9.46	           	           	       0.00	  390182.00	  342394.41	  358230.81	       0.01	       0.02	      -0.03	
 2017/03/13	    9.39	    9.45	    9.37	    9.44	       54530400	       9.42	       9.43	       9.46	           	           	       0.00	  545304.00	  370553.00	  372027.09	       0.01	       0.02	      -0.02	
 2017/03/14	    9.43	    9.46	    9.41	    9.44	       40448400	       9.42	       9.43	       9.46	           	           	       0.00	  404484.00	  392515.41	  375503.59	       0.01	       0.02	      -0.02	
 2017/03/15	    9.42	    9.48	    9.42	    9.48	       54656000	       9.43	       9.43	       9.46	           	           	       0.00	  546560.00	  452939.81	  395460.31	       0.01	       0.02	      -0.01	
 2017/03/16	    9.48	    9.53	    9.45	    9.52	       63595300	       9.46	       9.44	       9.47	           	           	       0.00	  635953.00	  504496.59	  418692.81	       0.02	       0.02	       0.00	
 2017/03/17	    9.45	    9.46	    9.30	    9.31	      158364704	       9.44	       9.43	       9.46	           	           	       0.00	 1583647.00	  743189.63	  542792.00	       0.00	       0.01	      -0.02	
 2017/03/20	    9.29	    9.31	    9.22	    9.25	       71502096	       9.40	       9.41	       9.45	           	           	       0.00	  715020.94	  777133.00	  573843.00	      -0.01	       0.01	      -0.04	
 2017/03/21	    9.25	    9.26	    9.20	    9.24	       55464800	       9.36	       9.39	       9.43	           	           	       0.00	  554648.00	  807165.81	  599840.63	      -0.02	       0.00	      -0.05	
 2017/03/22	    9.20	    9.22	    9.14	    9.16	       56612300	       9.30	       9.36	       9.41	           	           	       0.00	  566123.00	  811078.38	  632009.13	      -0.04	      -0.01	      -0.07	
